rank,feature,feature_type,n_valid,method,statistic,p_value,direction,missing_rate,mean,std,median,min,max,n_unique,level_counts,pointbiserial_r,pointbiserial_p,mwu_u,mwu_p,chi2_stat,chi2_p,binned_or_q4_rel_to_q1
1,Respiratory_failure,binary,500,chi2,164.8445853547484,9.891452325709224e-38,,0.0,,,,,,2.0,"{""0"": 292, ""1"": 208}",,,,,164.8445853547484,9.891452325709224e-38,
2,age,continuous,500,mwu,44466.0,2.6397848621102123e-16,pos,0.0,71.568,17.381069563128634,73.0,13.0,95.0,,,0.3521866555212368,4.781340463772632e-16,44466.0,2.6397848621102123e-16,,,Q1=1.00; Q2=1.22; Q3=0.78; Q4=16.26
3,sepsis,binary,500,chi2,46.8264096696591,7.756112316055935e-12,,0.0,,,,,,2.0,"{""0"": 440, ""1"": 60}",,,,,46.8264096696591,7.756112316055935e-12,
4,wbc,continuous,500,mwu,23061.5,4.052822982443948e-07,neg,0.0,10.815760000000001,6.050073354728452,9.535,0.66,54.58,,,-0.18709604766761376,2.5496494196245586e-05,23061.5,4.052822982443948e-07,,,Q1=1.00; Q2=0.42; Q3=0.40; Q4=0.24
5,SOFA,continuous,500,mwu,39097.5,1.0054864939720952e-06,pos,0.0,5.502,3.3081541329773425,5.0,0.0,23.0,,,0.1985180464452967,7.731852348501615e-06,39097.5,1.0054864939720952e-06,,,Q1=1.00; Q2=3.28; Q3=3.51; Q4=3.59
6,Cerebral_infarction,binary,500,chi2,13.934120046812046,0.00018933029447622328,,0.0,,,,,,2.0,"{""0"": 357, ""1"": 143}",,,,,13.934120046812046,0.00018933029447622328,
7,gender,binary,500,chi2,13.683137418762879,0.00021638878110325296,,0.0,,,,,,2.0,"{""1"": 358, ""0"": 142}",,,,,13.683137418762879,0.00021638878110325296,
8,hemoglobin,continuous,500,mwu,26092.5,0.0014213954506934836,neg,0.0,10.43936,2.767787434932448,10.1,0.0,18.4,,,-0.10199859820089018,0.022548367153693294,26092.5,0.0014213954506934836,,,Q1=1.00; Q2=1.06; Q3=0.73; Q4=0.47
9,mbp,continuous,500,mwu,26292.0,0.0021489948147517483,neg,0.0,88.774,14.31645367021396,89.0,46.0,139.0,,,-0.13682247969238054,0.0021678519698187762,26292.0,0.0021489948147517483,,,Q1=1.00; Q2=1.32; Q3=0.84; Q4=0.50
10,ICH,binary,500,chi2,8.936104980935438,0.0027958827948121297,,0.0,,,,,,2.0,"{""0"": 440, ""1"": 60}",,,,,8.936104980935438,0.0027958827948121297,
11,Sodium,continuous,500,mwu,26777.5,0.0056746041733716,neg,0.0,138.46808000000001,7.189908726025467,138.6,97.5,167.5,,,-0.10264588019138687,0.02170143801851061,26777.5,0.0056746041733716,,,Q1=1.00; Q2=0.59; Q3=0.54; Q4=0.51
12,Magnesium,continuous,500,mwu,35518.0,0.008116504093210682,pos,0.0,2.3545728,2.9849234874065873,2.1141,0.0,37.4949,,,0.07213054987473994,0.10719058369115401,35518.0,0.008116504093210682,,,Q1=1.00; Q2=1.65; Q3=1.15; Q4=2.09
