模型,数据集,训练集数据量,ACC,F1,Sensitivity,Specificity,best_epoch,checkpoint,status,error
XGBoost,UKB,10,0.525,0.162,0.092,0.958,,,ok,
XGBoost,UKB,50,0.507,0.108,0.060,0.954,,,ok,
XGBoost,UKB,100,0.549,0.299,0.192,0.906,,,ok,
XGBoost,UKB,500,0.535,0.254,0.158,0.912,,,ok,
XGBoost,UKB,1000,0.539,0.220,0.130,0.948,,,ok,
XGBoost,UKB,3000,0.578,0.343,0.220,0.936,,,ok,
XGBoost,YHD,10,0.500,0.000,0.000,1.000,,,ok,
XGBoost,YHD,50,0.589,0.445,0.330,0.848,,,ok,
XGBoost,YHD,100,0.606,0.477,0.360,0.852,,,ok,
XGBoost,YHD,500,0.694,0.615,0.488,0.900,,,ok,
XGBoost,YHD,1000,0.693,0.598,0.456,0.930,,,ok,
XGBoost,YHD,3000,0.734,0.674,0.550,0.918,,,ok,
LightGBM,UKB,10,0.500,0.000,0.000,1.000,,,ok,
LightGBM,UKB,50,0.508,0.174,0.104,0.912,,,ok,
LightGBM,UKB,100,0.562,0.334,0.220,0.904,,,ok,
LightGBM,UKB,500,0.534,0.274,0.176,0.892,,,ok,
LightGBM,UKB,1000,0.533,0.215,0.128,0.938,,,ok,
LightGBM,UKB,3000,0.569,0.321,0.204,0.934,,,ok,
LightGBM,YHD,10,0.500,0.000,0.000,1.000,,,ok,
LightGBM,YHD,50,0.546,0.458,0.384,0.708,,,ok,
LightGBM,YHD,100,0.574,0.437,0.330,0.818,,,ok,
LightGBM,YHD,500,0.685,0.603,0.478,0.892,,,ok,
LightGBM,YHD,1000,0.687,0.589,0.448,0.926,,,ok,
LightGBM,YHD,3000,0.726,0.656,0.522,0.930,,,ok,
DecisionTree,UKB,10,0.546,0.404,0.308,0.784,,,ok,
DecisionTree,UKB,50,0.481,0.231,0.156,0.806,,,ok,
DecisionTree,UKB,100,0.555,0.435,0.342,0.768,,,ok,
DecisionTree,UKB,500,0.528,0.348,0.252,0.804,,,ok,
DecisionTree,UKB,1000,0.541,0.387,0.290,0.792,,,ok,
DecisionTree,UKB,3000,0.549,0.378,0.274,0.824,,,ok,
DecisionTree,YHD,10,0.500,0.000,0.000,1.000,,,ok,
DecisionTree,YHD,50,0.547,0.382,0.280,0.814,,,ok,
DecisionTree,YHD,100,0.640,0.567,0.472,0.808,,,ok,
DecisionTree,YHD,500,0.637,0.525,0.402,0.872,,,ok,
DecisionTree,YHD,1000,0.609,0.488,0.372,0.846,,,ok,
DecisionTree,YHD,3000,0.654,0.552,0.426,0.882,,,ok,
MLP,UKB,10,0.499,0.012,0.006,0.992,,,ok,
MLP,UKB,50,0.500,0.016,0.008,0.992,,,ok,
MLP,UKB,100,0.502,0.012,0.006,0.998,,,ok,
MLP,UKB,500,0.502,0.008,0.004,1.000,,,ok,
MLP,UKB,1000,0.527,0.172,0.098,0.956,,,ok,
MLP,UKB,3000,0.500,0.000,0.000,1.000,,,ok,
MLP,YHD,10,0.500,0.000,0.000,1.000,,,ok,
MLP,YHD,50,0.626,0.513,0.394,0.858,,,ok,
MLP,YHD,100,0.533,0.255,0.160,0.906,,,ok,
MLP,YHD,500,0.627,0.460,0.318,0.936,,,ok,
MLP,YHD,1000,0.583,0.311,0.188,0.978,,,ok,
MLP,YHD,3000,0.702,0.603,0.452,0.952,,,ok,
FT-Transformer,UKB,10,0.500,0.000,0.000,1.000,1,contrast1/checkpoints/UKB/train10/seed36_best.pth,ok,
FT-Transformer,UKB,50,0.500,0.000,0.000,1.000,1,contrast1/checkpoints/UKB/train50/seed36_best.pth,ok,
FT-Transformer,UKB,100,0.500,0.000,0.000,1.000,1,contrast1/checkpoints/UKB/train100/seed36_best.pth,ok,
FT-Transformer,UKB,500,0.500,0.000,0.000,1.000,1,contrast1/checkpoints/UKB/train500/seed36_best.pth,ok,
FT-Transformer,UKB,1000,0.500,0.000,0.000,1.000,1,contrast1/checkpoints/UKB/train1000/seed36_best.pth,ok,
FT-Transformer,UKB,3000,0.500,0.000,0.000,1.000,1,contrast1/checkpoints/UKB/train3000/seed36_best.pth,ok,
FT-Transformer,YHD,10,0.500,0.000,0.000,1.000,1,contrast1/checkpoints/YHD/train10/seed36_best.pth,ok,
FT-Transformer,YHD,50,0.500,0.000,0.000,1.000,1,contrast1/checkpoints/YHD/train50/seed36_best.pth,ok,
FT-Transformer,YHD,100,0.500,0.000,0.000,1.000,1,contrast1/checkpoints/YHD/train100/seed36_best.pth,ok,
FT-Transformer,YHD,500,0.500,0.000,0.000,1.000,1,contrast1/checkpoints/YHD/train500/seed36_best.pth,ok,
FT-Transformer,YHD,1000,0.500,0.000,0.000,1.000,1,contrast1/checkpoints/YHD/train1000/seed36_best.pth,ok,
FT-Transformer,YHD,3000,0.627,0.502,0.376,0.878,11,contrast1/checkpoints/YHD/train3000/seed36_best.pth,ok,
LogisticRegression,UKB,10,0.511,0.167,0.098,0.924,,,ok,
LogisticRegression,UKB,50,0.478,0.202,0.132,0.824,,,ok,
LogisticRegression,UKB,100,0.555,0.439,0.348,0.762,,,ok,
LogisticRegression,UKB,500,0.588,0.580,0.570,0.606,,,ok,
LogisticRegression,UKB,1000,0.601,0.571,0.530,0.672,,,ok,
LogisticRegression,UKB,3000,0.624,0.607,0.580,0.668,,,ok,
LogisticRegression,YHD,10,,,,,,,error,"This solver needs samples of at least 2 classes in the data, but the data contains only one class: np.int64(0)"
LogisticRegression,YHD,50,0.627,0.564,0.482,0.772,,,ok,
LogisticRegression,YHD,100,0.636,0.557,0.458,0.814,,,ok,
LogisticRegression,YHD,500,0.726,0.704,0.652,0.800,,,ok,
LogisticRegression,YHD,1000,0.734,0.706,0.638,0.830,,,ok,
LogisticRegression,YHD,3000,0.743,0.722,0.666,0.820,,,ok,
